score,user_pct
400,0
410,0
420,0
430,0
440,0
450,0
460,0
470,0
480,0
490,0
500,0
510,0
520,0
530,0
540,0
550,0
560,0
570,0
580,0
590,0
600,0
610,0
620,0
630,1
640,1
650,1
660,1
670,1
680,2
690,2
700,3
710,3
720,4
730,5
740,6
750,7
760,8
770,9
780,10
790,11
800,12
810,13
820,15
830,16
840,17
850,19
860,20
870,21
880,23
890,24
900,26
910,27
920,29
930,30
940,32
950,34
960,35
970,37
980,39
990,40
1000,42
1010,44
1020,45
1030,47
1040,49
1050,51
1060,52
1070,54
1080,56
1090,58
1100,59
1110,61
1120,63
1130,64
1140,66
1150,67
1160,69
1170,70
1180,72
1190,73
1200,74
1210,76
1220,77
1230,78
1240,79
1250,81
1260,82
1270,83
1280,84
1290,85
1300,86
1310,87
1320,87
1330,88
1340,89
1350,90
1360,91
1370,91
1380,92
1390,93
1400,93
1410,94
1420,94
1430,95
1440,95
1450,96
1460,96
1470,97
1480,97
1490,98
1500,98
1510,98
1520,99
1530,99
1540,99
1550,99
1560,99.5
1570,99.5
1580,99.5
1590,99.5
1600,99.5
